handle,name,city,tier,google_rating,ig_score,followers,card_path,dm_soft,dm_icebreaker,dm_followup
fenstercafe,"Fenster Cafe",Wien,T1-SleepingGiant,4.6,34,22613,data/cards/fenstercafe.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Fenster Cafe war dabei.

Euer Instagram Score liegt bei 34/100. Der Ø Wien Café & Kaffee liegt bei 56.5/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Wien analysiert und Fenster Cafe war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 34/100 (23 Punkte Potenzial bis zum Ø Wien Café & Kaffee).

Größter Hebel den wir gesehen haben: kaum Reels (0% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
silocoffee,"Silo Coffee",Berlin,T1-SleepingGiant,4.5,49,18516,data/cards/silocoffee.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Silo Coffee war dabei.

Euer Instagram Score liegt bei 49/100. Das ist über dem Ø Berlin Café & Kaffee (47.4/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Silo Coffee war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 49/100 (2 Punkte über dem Ø Berlin Café & Kaffee).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.5x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
quechoa.restaurant,"Quê Choa Restaurant",Berlin,T1-SleepingGiant,4.9,34,16684,data/cards/quechoa.restaurant.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Quê Choa Restaurant war dabei.

Euer Instagram Score liegt bei 34/100. Der Ø Berlin Restaurant liegt bei 51.1/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Quê Choa Restaurant war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 34/100 (17 Punkte Potenzial bis zum Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: kaum Reels (0% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
songlam37.restaurant,"Song Lam 37 - Vietnamese",Berlin,T1-SleepingGiant,4.8,34,14249,data/cards/songlam37.restaurant.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Song Lam 37 - Vietnamese war dabei.

Euer Instagram Score liegt bei 34/100. Der Ø Berlin Restaurant liegt bei 51.1/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Song Lam 37 - Vietnamese war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 34/100 (17 Punkte Potenzial bis zum Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: kaum Reels (0% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
cafeneundrei,"cafe neundrei",Berlin,T1-SleepingGiant,4.6,41,13835,data/cards/cafeneundrei.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und cafe neundrei war dabei.

Euer Instagram Score liegt bei 41/100. Der Ø Berlin Café & Kaffee liegt bei 47.4/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und cafe neundrei war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 41/100 (6 Punkte Potenzial bis zum Ø Berlin Café & Kaffee).

Größter Hebel den wir gesehen haben: kaum Reels (8% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
umami_restaurants,"UMAMI Restaurants",Berlin,T1-SleepingGiant,4.5,49,11644,data/cards/umami_restaurants.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und UMAMI Restaurants war dabei.

Euer Instagram Score liegt bei 49/100. Der Ø Berlin Restaurant liegt bei 51.1/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und UMAMI Restaurants war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 49/100 (2 Punkte Potenzial bis zum Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.1x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
superbrosfrankfurt,"Super Bros",Frankfurt am Main,T1-SleepingGiant,4.5,48,10499,data/cards/superbrosfrankfurt.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Super Bros war dabei.

Euer Instagram Score liegt bei 48/100. Der Ø Frankfurt am Main Restaurant liegt bei 53.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Super Bros war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 48/100 (6 Punkte Potenzial bis zum Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.5x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
georgebarandgrill,"George Bar & Grill",Zürich,T1-SleepingGiant,4.5,41,8480,data/cards/georgebarandgrill.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und George Bar & Grill war dabei.

Euer Instagram Score liegt bei 41/100. Der Ø Zürich Bar & Lounge liegt bei 48.5/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Zürich analysiert und George Bar & Grill war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 41/100 (8 Punkte Potenzial bis zum Ø Zürich Bar & Lounge).

Größter Hebel den wir gesehen haben: kaum Reels (8% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
thecatch.berlin,"Modern Japanese Izakaya",Berlin,T1-SleepingGiant,4.6,41,8343,data/cards/thecatch.berlin.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Modern Japanese Izakaya war dabei.

Euer Instagram Score liegt bei 41/100. Der Ø Berlin Restaurant liegt bei 51.1/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Modern Japanese Izakaya war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 41/100 (10 Punkte Potenzial bis zum Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: kaum Reels (0% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
helium.frankfurt,"Helium Cafe | Bar | Eventlocation",Frankfurt am Main,T1-SleepingGiant,4.7,41,8216,data/cards/helium.frankfurt.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Helium Cafe | Bar | Eventlocation war dabei.

Euer Instagram Score liegt bei 41/100. Der Ø Frankfurt am Main Bar & Lounge liegt bei 50/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Helium Cafe | Bar | Eventlocation war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 41/100 (9 Punkte Potenzial bis zum Ø Frankfurt am Main Bar & Lounge).

Größter Hebel den wir gesehen haben: kaum Reels (0% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
